# id,name,interests (semicolon-separated)
0,Aditya_0,Computer Vision;Databases;Hiking;Operating Systems;Photography;Web Development
1,Rohan_1,Computer Vision;Databases;Photography;Rust;Writing
2,Mansi_2,Chemistry;Competitive Programming;Gaming;Swimming
3,Atishay_3,Cricket;Cybersecurity;Investing;Mathematics;Reading
4,Pooja_4,Blockchain;Frontend;Go;JavaScript;Photography;Swimming;Web Development
5,Nikhil_5,Algorithms;Databases;Gaming;Hiking;Networking;Python;Rust
6,Ishaan_6,Chemistry;Cloud;Competitive Programming;Deep Learning;Frontend;NLP;Web Development
7,Ananya_7,C++;Data Structures;DevOps;Economics;Finance;Networking;Reading
8,Aditya_8,Algorithms;Competitive Programming;Music;Networking;Photography
9,Neha_9,Blockchain;Competitive Programming;Deep Learning;Football
10,Kavya_10,C++;Cybersecurity;Deep Learning;Frontend;Graph Theory;Web Development
11,Nidhi_11,Cricket;Cybersecurity;Football;Gaming;Reading
12,Tanya_12,Algorithms;Football;Go;Investing;Java;JavaScript;Photography
13,Nidhi_13,Basketball;Blockchain;Computer Vision;Data Structures;Frontend;Swimming
14,Neha_14,C++;Chemistry;Rust;Swimming;Writing
15,Shreya_15,Computer Vision;Deep Learning;Go;Java;JavaScript;Operating Systems;Python
16,Arjun_16,Go;Graph Theory;Hiking;Painting;Writing
17,Suhani_17,C++;Data Structures;DevOps;Economics;Mathematics;Networking
18,Vikas_18,C++;Chemistry;Gaming;Graph Theory;Networking;Photography
19,Simran_19,Biology;Chemistry;Cybersecurity;DevOps;Music;Swimming
20,Rahul_20,Chemistry;Competitive Programming;Compilers;Graph Theory;Mathematics;Networking
21,Sneha_21,Gaming;Hiking;Music;Networking;Python;Rust
22,Vishal_22,Algorithms;Cricket;Java;Mathematics;Operating Systems
23,Ananya_23,Chemistry;Operating Systems;Swimming;Web Development
24,Vikas_24,Competitive Programming;Computer Vision;Go;Java;Machine Learning;Photography;Physics
25,Mansi_25,Cricket;DevOps;Finance;Football;Graph Theory;Machine Learning;Reading
26,Ananya_26,Compilers;Cricket;Machine Learning;Photography;Reading
27,Rohan_27,Basketball;Blockchain;Chemistry;Computer Vision;Data Structures;Frontend;Swimming
28,Kunal_28,Algorithms;Cricket;Java;Mathematics;Reading
29,Vishal_29,Frontend;Gaming;Graph Theory;Python;Reading
30,Isha_30,Blockchain;Databases;Finance;Java
31,Shreya_31,C++;Computer Vision;Hiking;Photography;Rust;Swimming;Web Development
32,Simran_32,C++;Databases;Mathematics;Physics
33,Kunal_33,C++;Cloud;Compilers;Mathematics;Reading
34,Amit_34,Cricket;Cybersecurity;Mathematics;Music;Reading;Rust
35,Kavya_35,Biology;C++;Finance;Hiking;Machine Learning
36,Ravi_36,Biology;Blockchain;Graph Theory;Hiking;Painting;Writing
37,Suhani_37,Basketball;Cloud;DevOps;Finance;Go;Hiking;Swimming
38,Nikhil_38,Computer Vision;Cricket;Finance;Rust
39,Simran_39,Basketball;Chemistry;Gaming;Physics;Swimming;Web Development
40,Nikhil_40,Basketball;Biology;Blockchain;Economics;Finance;Hiking
41,Kunal_41,Blockchain;C++;Cloud;Databases;Mathematics
42,Atishay_42,Blockchain;Compilers;Economics;Graph Theory;Web Development;Writing
43,Pooja_43,Backend;Data Structures;Go;Hiking;Painting;Reading;Writing
44,Sneha_44,Compilers;Computer Vision;Finance;Frontend;Rust
45,Amit_45,Compilers;Gaming;Java;Reading
46,Kavya_46,Basketball;Computer Vision;Data Structures;Frontend;JavaScript;Photography;Python;Swimming
47,Kavya_47,Backend;Biology;Cricket;Hiking;Operating Systems;Writing
48,Pooja_48,Cloud;DevOps;Networking;Painting;Reading
49,Ishaan_49,Go;Investing;Mathematics;Painting;Python
50,Divya_50,C++;Hiking;Mathematics;Physics
51,Aditya_51,Compilers;DevOps;Graph Theory;Machine Learning;Networking;Operating Systems
52,Kavya_52,Blockchain;Cybersecurity;Databases;Finance;Java
53,Megha_53,Compilers;Cricket;Cybersecurity;Hiking;Mathematics
54,Kunal_54,Chemistry;Go;Mathematics;Operating Systems;Physics;Python
55,Suhani_55,Economics;Investing;Music;Painting;Physics;Python;Writing
56,Rahul_56,Algorithms;Finance;Machine Learning;Music;Web Development
57,Shreya_57,Chemistry;Deep Learning;Investing;Java;NLP;Swimming
58,Rohan_58,Algorithms;Go;Java;JavaScript;NLP;Photography;Rust
59,Ishaan_59,Backend;Data Structures;DevOps;Frontend
60,Tanya_60,Basketball;Biology;C++;Competitive Programming;Frontend;Physics
61,Kavya_61,Algorithms;Basketball;Competitive Programming;Databases;DevOps;JavaScript;Music;Web Development
62,Neha_62,DevOps;Go;Mathematics;Operating Systems;Physics
63,Rohan_63,Finance;Gaming;Go;Graph Theory;Operating Systems;Python;Reading
64,Tanya_64,Computer Vision;Deep Learning;Investing;Java;Photography;Physics
65,Vinayak_65,Cloud;Football;Graph Theory;JavaScript;Physics;Python
66,Neha_66,C++;Databases;Deep Learning;Mathematics
67,Vishal_67,Chemistry;Cloud;DevOps;Python
68,Nidhi_68,Cybersecurity;Finance;Java;NLP
69,Rahul_69,Blockchain;Economics;Operating Systems;Web Development
70,Kunal_70,Go;JavaScript;Operating Systems;Photography;Python;Writing
71,Priya_71,Basketball;Compilers;Computer Vision;Databases;Hiking;Photography;Writing
72,Amit_72,Basketball;Competitive Programming;Computer Vision;Deep Learning;DevOps;Football;Swimming
73,Amit_73,C++;Economics;Football;JavaScript;Operating Systems;Physics;Swimming
74,Yash_74,Algorithms;Competitive Programming;Databases;Mathematics;Networking
75,Kunal_75,Cloud;Computer Vision;Cricket;Finance
76,Vinayak_76,Basketball;Competitive Programming;Data Structures;Finance;Hiking;Reading;Writing
77,Ravi_77,Compilers;Databases;Finance;Go;Machine Learning;NLP;Physics
78,Arjun_78,Deep Learning;Graph Theory;Photography;Web Development
79,Nidhi_79,Blockchain;Computer Vision;Cricket;Cybersecurity;Football;Gaming
80,Arjun_80,Algorithms;C++;Competitive Programming;Gaming;Web Development;Writing
81,Arjun_81,C++;Cloud;Compilers;Writing
82,Sarthak_82,DevOps;Frontend;JavaScript;Photography;Writing
83,Ananya_83,Biology;Data Structures;Hiking;Java;JavaScript
84,Pooja_84,Gaming;Java;Reading
85,Vikas_85,Basketball;Computer Vision;Cricket;Data Structures;Databases;Football;Frontend;Swimming
86,Vinayak_86,Algorithms;Competitive Programming;Cricket;Finance;Go;Web Development
87,Nikhil_87,C++;Cloud;Compilers;Music;Web Development
88,Suhani_88,Competitive Programming;Data Structures;Graph Theory;JavaScript;Photography;Physics
89,Divya_89,Basketball;Competitive Programming;Computer Vision;DevOps;Football;NLP;Photography;Swimming
90,Amit_90,Backend;Cybersecurity;Economics;Frontend;Machine Learning;Web Development
91,Ishaan_91,Blockchain;Competitive Programming;Databases;Deep Learning
92,Arjun_92,Backend;C++;Hiking;JavaScript;NLP;Reading;Rust
93,Rahul_93,Basketball;Blockchain;Competitive Programming;Computer Vision;Data Structures;Football;Photography;Swimming
94,Sneha_94,Chemistry;Competitive Programming;Compilers;Computer Vision;JavaScript;Physics;Rust
95,Sarthak_95,Data Structures;Go;Hiking;Reading
96,Nidhi_96,Backend;Cloud;DevOps;Finance;Go;Hiking;Reading
97,Sneha_97,Cloud;Databases;DevOps;Finance;Go;Hiking
98,Harsh_98,Data Structures;Go;Hiking;JavaScript;Music;Reading
99,Yash_99,Competitive Programming;Finance;Gaming;Go;JavaScript;Writing
100,Ravi_100,Chemistry;Compilers;DevOps;Rust;Swimming;Writing
101,Karan_101,Basketball;C++;Data Structures;DevOps;Economics;Networking;Python;Web Development
102,Shreya_102,Cybersecurity;Deep Learning;Football;Hiking;Rust
103,Pooja_103,Cricket;Finance;Go;Java;Python
104,Megha_104,Biology;Gaming;Hiking;Networking;Python;Rust
105,Simran_105,Algorithms;Chemistry;Compilers;Deep Learning;Investing;Java;Swimming
106,Neha_106,Cloud;JavaScript;Painting;Physics;Python
107,Ananya_107,Algorithms;Basketball;Blockchain;Competitive Programming;Gaming;Web Development
108,Tanya_108,Chemistry;DevOps;Hiking;Investing;Networking
109,Vinayak_109,C++;Compilers;Databases;Java;Machine Learning;Painting;Web Development
110,Divya_110,Cloud;Computer Vision;Cricket;Data Structures;Finance
111,Amit_111,Backend;Cybersecurity;Economics;Frontend;JavaScript;Machine Learning
112,Kunal_112,Competitive Programming;Compilers;DevOps;Finance;Football;Graph Theory;Networking
113,Kavya_113,Cricket;Cybersecurity;Databases;Mathematics
114,Tanya_114,Basketball;Cricket;Deep Learning;Machine Learning;Physics;Reading;Web Development
115,Pooja_115,Biology;Hiking;Investing;Java;JavaScript;Music
116,Vinayak_116,Compilers;Computer Vision;DevOps;Go;Machine Learning;Mathematics
117,Pooja_117,Go;Investing;Painting;Python;Writing
118,Tanya_118,Blockchain;Computer Vision;Cricket;Football;Mathematics;Operating Systems
119,Suhani_119,Cloud;Competitive Programming;Computer Vision;Cybersecurity;Finance;NLP
120,Vikas_120,Blockchain;Deep Learning;Frontend;JavaScript;Machine Learning;Python;Web Development
121,Aditya_121,Chemistry;Competitive Programming;Cricket;Frontend;Python;Writing
122,Ananya_122,Basketball;Competitive Programming;Computer Vision;Finance;Football;Music;Swimming
123,Shreya_123,Algorithms;Competitive Programming;Go;Java;JavaScript;Photography
124,Kavya_124,C++;Cloud;Compilers;Go
125,Rohan_125,Finance;Machine Learning;Music;Web Development
126,Kunal_126,Chemistry;DevOps;Gaming;Graph Theory;Mathematics;Networking
127,Vishal_127,Backend;Chemistry;DevOps;Go;Java;Music;Swimming
128,Harsh_128,Backend;Blockchain;Computer Vision;Go;Java
129,Harsh_129,Chemistry;Cloud;Competitive Programming;Frontend;NLP;Swimming
130,Karan_130,Computer Vision;Java;Photography;Physics
131,Sneha_131,Blockchain;DevOps;Finance;Football;Graph Theory
132,Atishay_132,Competitive Programming;Graph Theory;Investing;Photography;Physics;Writing
133,Rahul_133,Competitive Programming;Cricket;Frontend;Painting;Photography;Python;Writing
134,Aditya_134,Backend;Cybersecurity;Economics;Frontend;Java;Machine Learning
135,Vishal_135,Computer Vision;Cricket;Databases;Java;Photography;Web Development
136,Vikas_136,Cloud;DevOps;Finance;Go;Hiking;Java;Painting
137,Ananya_137,Algorithms;Cloud;Computer Vision;Cricket;Deep Learning;Finance
138,Vinayak_138,Chemistry;Cloud;Competitive Programming;Data Structures;Frontend;NLP;Swimming
139,Sarthak_139,Cricket;Gaming;Investing;JavaScript;Painting
140,Mansi_140,Blockchain;Competitive Programming;Deep Learning;Writing
141,Kavya_141,Algorithms;Basketball;DevOps;Finance
142,Rahul_142,Competitive Programming;Cricket;Deep Learning;Frontend;Painting;Python;Writing
143,Ananya_143,Cloud;Cricket;JavaScript;Physics;Python
144,Rahul_144,C++;Databases;DevOps;Mathematics
145,Vishal_145,Backend;DevOps;Investing;Music;Operating Systems;Painting;Physics
146,Yash_146,Backend;C++;Cricket;Frontend;NLP;Rust
147,Ananya_147,Algorithms;Competitive Programming;DevOps;Finance;Go;JavaScript
148,Aditya_148,Backend;Data Structures;DevOps;Frontend;Python;Swimming
149,Nidhi_149,Compilers;Finance;Go;NLP;Physics
150,Kunal_150,Blockchain;Competitive Programming;Deep Learning;Python
151,Tanya_151,Blockchain;Chemistry;Databases;Finance;Java;NLP
152,Vinayak_152,Backend;Biology;C++;Chemistry;Cybersecurity;Deep Learning;NLP;Physics
153,Isha_153,Basketball;Blockchain;Databases;Finance;Networking;Swimming;Writing
154,Vishal_154,Basketball;Blockchain;Finance;Machine Learning;Networking;Swimming
155,Megha_155,Algorithms;Blockchain;Competitive Programming;Computer Vision;Java;Photography;Physics
156,Pooja_156,Chemistry;Gaming;Hiking;Swimming
157,Tanya_157,Chemistry;Databases;DevOps;Frontend;Hiking;Investing
158,Tanya_158,Chemistry;Economics;Go;Rust;Writing
159,Tanya_159,C++;Finance;Gaming;Hiking;Machine Learning;Mathematics
160,Shreya_160,Algorithms;Basketball;Biology;Blockchain;Finance;Graph Theory;Hiking;Investing
161,Yash_161,Economics;Mathematics;Operating Systems
162,Pooja_162,Cloud;Data Structures;Gaming;Networking;Reading;Writing
163,Arjun_163,Go;Painting;Python;Rust;Writing
164,Ishaan_164,Chemistry;Databases;DevOps;Hiking;Investing;Java
165,Ishaan_165,Biology;Cricket;JavaScript;Painting;Photography;Rust;Web Development
166,Suhani_166,Basketball;C++;Computer Vision;Data Structures;Frontend;Java;Swimming
167,Suhani_167,Biology;Football;Gaming;Hiking;Investing;JavaScript;Operating Systems;Reading
168,Megha_168,C++;Chemistry;Compilers;Graph Theory;Networking
169,Karan_169,C++;Databases;JavaScript;Music
170,Yash_170,Chemistry;Deep Learning;Java;JavaScript;Operating Systems;Python
171,Rohan_171,DevOps;Finance;Football;Graph Theory;Swimming
172,Simran_172,Compilers;Computer Vision;Databases;DevOps;Rust;Writing
173,Ravi_173,Backend;C++;Data Structures;Java;NLP;Rust
174,Ishaan_174,Chemistry;Computer Vision;DevOps;Gaming;JavaScript;Mathematics
175,Yash_175,Competitive Programming;Finance;Go;Graph Theory;JavaScript;Swimming
176,Simran_176,Basketball;Chemistry;DevOps;Finance;Frontend
177,Kavya_177,Algorithms;Chemistry;Go;Rust;Swimming;Writing
178,Ishaan_178,Chemistry;DevOps;Frontend;Java;JavaScript;Writing
179,Harsh_179,Algorithms;Economics;Go;Java;JavaScript;Photography
180,Mansi_180,Blockchain;Cybersecurity;Frontend;Go;Graph Theory;JavaScript;Web Development
181,Megha_181,Cybersecurity;Go;JavaScript;Operating Systems;Photography;Physics
182,Simran_182,Cloud;JavaScript;Painting;Physics;Python
183,Shreya_183,C++;Compilers;Databases;Machine Learning;Painting;Rust;Web Development
184,Amit_184,Gaming;Java;Reading;Rust
185,Pooja_185,Blockchain;Cloud;Compilers;Economics;Web Development
186,Shreya_186,Algorithms;Chemistry;Data Structures;DevOps;Hiking;Investing;Mathematics
187,Atishay_187,Computer Vision;Economics;Java;NLP;Networking;Photography;Physics
188,Kunal_188,Basketball;Competitive Programming;Computer Vision;Football;Graph Theory;Reading;Swimming
189,Neha_189,Blockchain;Chemistry;Gaming;Graph Theory;Investing;Networking
190,Rahul_190,Algorithms;Chemistry;Cloud;DevOps;Python
191,Mansi_191,Cloud;Databases;DevOps;Painting;Reading
192,Yash_192,C++;Compilers;Cricket;Mathematics;Physics
193,Rohan_193,Cricket;Investing;Java;JavaScript;Painting
194,Shreya_194,Basketball;Biology;Blockchain;Data Structures;Frontend;JavaScript;Web Development
195,Vinayak_195,Cricket;Deep Learning;Go;Investing;Painting;Python
196,Harsh_196,Cricket;Economics;Finance;JavaScript;Music;Networking;Painting
197,Kunal_197,Compilers;Computer Vision;Go;Machine Learning;Mathematics;Networking
198,Nidhi_198,Chemistry;DevOps;Operating Systems;Swimming;Web Development
199,Ishaan_199,Cloud;Cricket;DevOps;Painting;Reading
200,Vikas_200,Chemistry;DevOps;Hiking;Investing;Machine Learning;Music;Rust
201,Nikhil_201,Algorithms;Competitive Programming;Gaming;Music;Web Development;Writing
202,Rohan_202,Compilers;Finance;Go;Machine Learning;NLP;Physics
203,Arjun_203,Cloud;Data Structures;Gaming;Hiking;Python;Writing
204,Vinayak_204,Biology;Blockchain;Cricket;Cybersecurity;Data Structures;Football;Gaming
205,Tanya_205,Blockchain;Investing;Music;Painting;Physics
206,Megha_206,C++;Competitive Programming;Compilers;Cricket;Finance;Hiking;Machine Learning
207,Amit_207,Gaming;NLP;Networking;Operating Systems;Painting;Physics;Python
208,Ishaan_208,Blockchain;Compilers;Economics;Web Development
209,Sarthak_209,Basketball;Chemistry;Compilers;Graph Theory;Investing;Mathematics;Networking
210,Harsh_210,Basketball;C++;Football;JavaScript;NLP;Operating Systems;Physics;Python
211,Ananya_211,Basketball;Cloud;DevOps;Gaming;Painting;Reading;Web Development
212,Ishaan_212,Blockchain;C++;Cybersecurity;Mathematics;Physics
213,Pooja_213,Backend;Cloud;DevOps;Finance;Go;Hiking
214,Nikhil_214,C++;Cricket;Data Structures;DevOps;Economics;Networking;Swimming
215,Simran_215,Competitive Programming;Cricket;Frontend;Go;Python;Writing
216,Atishay_216,Computer Vision;Deep Learning;Football;Gaming;Mathematics;Python;Writing
217,Pooja_217,Backend;Blockchain;Competitive Programming;Deep Learning;Hiking
218,Ishaan_218,Algorithms;Blockchain;Competitive Programming;Cybersecurity;Gaming;Photography;Web Development
219,Aditya_219,Basketball;Competitive Programming;Computer Vision;Football;Java;Rust;Swimming
220,Sarthak_220,Basketball;DevOps;Finance;Football;Music
221,Kavya_221,C++;Cloud;Compilers;Gaming
222,Atishay_222,Data Structures;Deep Learning;Graph Theory;Java
223,Rahul_223,Backend;C++;NLP;Networking;Rust
224,Megha_224,Chemistry;Cloud;Competitive Programming;Frontend;Gaming;Java;NLP;Web Development
225,Kunal_225,Competitive Programming;Computer Vision;Football;Python;Swimming;Web Development
226,Ananya_226,Basketball;Cloud;Compilers;Databases;Frontend;Hiking;Writing
227,Arjun_227,Cloud;Computer Vision;Cricket;Java;Photography;Physics
228,Suhani_228,Algorithms;Competitive Programming;Computer Vision;Gaming;Web Development
229,Mansi_229,Basketball;Cricket;Gaming;Java;Reading
230,Rohan_230,Algorithms;Graph Theory;Machine Learning;NLP;Painting;Web Development;Writing
231,Rohan_231,Basketball;Cricket;Finance;Networking;Rust;Swimming;Web Development;Writing
232,Mansi_232,DevOps;Go;JavaScript;Operating Systems
233,Harsh_233,C++;Cricket;Football;Frontend;JavaScript;Music;Operating Systems;Physics
234,Aditya_234,Deep Learning;Graph Theory;Photography;Web Development
235,Rohan_235,Backend;Cybersecurity;Economics;Frontend;Machine Learning;Web Development
236,Aditya_236,Backend;Blockchain;C++;Java
237,Shreya_237,Backend;C++;Data Structures;Gaming;NLP;Operating Systems;Rust
238,Sarthak_238,Cloud;Computer Vision;Cricket;Finance;Mathematics
239,Arjun_239,Cloud;DevOps;Frontend;JavaScript
240,Rohan_240,Basketball;Cricket;Databases;Deep Learning;Investing;Reading;Web Development
241,Vishal_241,Backend;Cloud;Databases;DevOps;Frontend;Mathematics
242,Suhani_242,Blockchain;Frontend;Networking;Photography;Reading;Writing
243,Vishal_243,Economics;Graph Theory;Hiking;Painting;Writing
244,Yash_244,Algorithms;Cricket;Finance;Investing;Machine Learning;Python;Swimming
245,Kavya_245,Compilers;Computer Vision;Hiking;Java;Rust
246,Yash_246,DevOps;Economics;Music;Networking;Painting
247,Suhani_247,Chemistry;Cybersecurity;Deep Learning;Investing;Java;Python;Swimming
248,Neha_248,Basketball;Biology;C++;Frontend;Graph Theory
249,Tanya_249,Competitive Programming;Data Structures;Economics;Graph Theory;Photography;Physics
250,Amit_250,Algorithms;Cricket;Data Structures;Java;Mathematics
251,Isha_251,Cloud;Databases;DevOps;Painting;Reading
252,Rohan_252,Cricket;Java;Photography;Web Development
253,Suhani_253,Backend;C++;DevOps;Frontend
254,Amit_254,Blockchain;Competitive Programming;Deep Learning;Go;Music
255,Amit_255,Algorithms;Basketball;Databases;DevOps;Swimming;Web Development
256,Simran_256,Algorithms;Cricket;Cybersecurity;Java;NLP;Python
257,Nidhi_257,Algorithms;Go;Hiking;JavaScript
258,Ravi_258,Finance;Frontend;Java;JavaScript;Painting;Photography;Web Development
259,Megha_259,Competitive Programming;Football;Painting;Python;Web Development
260,Neha_260,Biology;Economics;Football;Mathematics
261,Aditya_261,Chemistry;Cricket;DevOps;Music;NLP;Swimming
262,Mansi_262,Chemistry;Competitive Programming;Operating Systems;Swimming;Web Development
263,Rohan_263,Algorithms;Backend;Chemistry;DevOps;Rust;Web Development
264,Ravi_264,Computer Vision;Football;Go;JavaScript;Machine Learning;Operating Systems
265,Simran_265,Algorithms;Cricket;Investing;Java;Mathematics
266,Arjun_266,Biology;Computer Vision;Finance;Operating Systems;Rust
267,Nidhi_267,Chemistry;Cricket;Deep Learning;NLP
268,Nidhi_268,Biology;Chemistry;Compilers;Deep Learning;Football;NLP;Physics
269,Vishal_269,Chemistry;Computer Vision;Databases;DevOps;Hiking;Investing
270,Simran_270,Competitive Programming;Machine Learning;Mathematics;Music;Networking;Photography
271,Vinayak_271,Basketball;Competitive Programming;Data Structures;Finance;Reading;Writing
272,Megha_272,Cloud;Data Structures;Databases;DevOps;Gaming;Writing
273,Ishaan_273,Algorithms;Hiking;Java;JavaScript;Swimming
274,Sneha_274,Backend;Compilers;Graph Theory;Networking
275,Priya_275,Gaming;Graph Theory;Hiking;Networking;Python;Reading;Swimming
276,Rohan_276,Blockchain;Chemistry;Operating Systems;Swimming;Web Development
277,Yash_277,Algorithms;Basketball;Hiking;JavaScript
278,Simran_278,Basketball;Blockchain;Compilers;Databases;Go;Hiking;NLP;Writing
279,Harsh_279,Algorithms;Basketball;Blockchain;Cricket;Deep Learning;Reading;Web Development
280,Nidhi_280,Basketball;Biology;C++;Data Structures;DevOps;Economics;Networking;Swimming
281,Divya_281,Backend;Blockchain;Databases;Java;Rust
282,Vishal_282,Algorithms;Compilers;Finance;Frontend;Investing;Machine Learning
283,Sneha_283,Backend;C++;Databases;Mathematics;Reading
284,Yash_284,Finance;Frontend;Graph Theory;Rust;Writing
285,Priya_285,Basketball;Computer Vision;Data Structures;Frontend;NLP;Swimming
286,Tanya_286,Backend;Compilers;Graph Theory;Machine Learning;Photography;Rust
287,Karan_287,Cloud;Data Structures;DevOps;Painting;Reading;Writing
288,Shreya_288,C++;Databases;DevOps;Mathematics;NLP
289,Vikas_289,Databases;Finance;Machine Learning;Music;Operating Systems;Web Development
290,Isha_290,Algorithms;Competitive Programming;Databases;Deep Learning;Mathematics;Networking;Painting
291,Neha_291,Backend;Cybersecurity;Economics;Frontend;Machine Learning
292,Priya_292,Backend;Biology;Cricket;Hiking;Machine Learning;Networking;Operating Systems;Photography
293,Rahul_293,Backend;Cricket;Economics;Mathematics;Operating Systems
294,Sneha_294,Competitive Programming;Finance;Graph Theory;Writing
295,Isha_295,C++;Chemistry;Databases;JavaScript;Mathematics
296,Megha_296,Hiking;JavaScript;Painting;Photography;Web Development
297,Vishal_297,Basketball;Biology;Chemistry;Cybersecurity;DevOps;Networking;Swimming
298,Megha_298,Deep Learning;Java;JavaScript;Operating Systems;Python;Reading
299,Mansi_299,Deep Learning;Economics;JavaScript;Mathematics;Networking;Photography
300,Rohan_300,Cloud;JavaScript;Painting;Photography;Reading;Web Development
301,Nidhi_301,Economics;Gaming;Music;Networking;Painting
302,Kunal_302,Algorithms;C++;Competitive Programming;Football;Gaming;Web Development
303,Megha_303,Frontend;Go;JavaScript;Painting;Python;Rust
304,Isha_304,Gaming;Hiking;Networking;Python;Rust;Web Development
305,Vinayak_305,Cloud;Compilers;Computer Vision;Cricket;Finance;Physics
306,Vishal_306,Biology;Blockchain;Competitive Programming;Frontend;Networking;Photography;Reading
307,Divya_307,Databases;Finance;Machine Learning;Music;Reading;Web Development
308,Kunal_308,Computer Vision;Databases;Networking;Writing
309,Arjun_309,Backend;C++;Deep Learning;NLP;Operating Systems;Rust;Web Development
310,Megha_310,Finance;Go;JavaScript;Mathematics;Operating Systems;Physics;Rust
311,Nikhil_311,Graph Theory;Machine Learning;Operating Systems;Physics;Web Development
312,Megha_312,Compilers;Databases;Frontend;Java;NLP
313,Aditya_313,Chemistry;Cloud;DevOps;Hiking;Investing;Painting
314,Tanya_314,Computer Vision;Databases;Investing;Writing
315,Neha_315,Biology;Computer Vision;Databases;Investing;Painting
316,Vinayak_316,Cricket;Economics;Gaming;Go;JavaScript;Mathematics;Networking;Photography
317,Atishay_317,Blockchain;Frontend;Gaming;JavaScript;Web Development
318,Isha_318,Biology;Chemistry;Deep Learning;NLP;Physics
319,Kunal_319,Biology;Chemistry;Gaming;Swimming
320,Vikas_320,Chemistry;Cloud;Competitive Programming;Frontend;JavaScript;NLP;Web Development;Writing
321,Priya_321,Backend;Competitive Programming;Computer Vision;Hiking;Photography;Web Development
322,Ravi_322,Basketball;Biology;Chemistry;Competitive Programming;Deep Learning;NLP;Physics
323,Isha_323,Chemistry;Economics;Gaming;Mathematics;Swimming
324,Sarthak_324,Graph Theory;Hiking;Operating Systems;Physics;Swimming;Web Development
325,Shreya_325,Data Structures;Deep Learning;Football;Rust;Writing
326,Nidhi_326,Basketball;Cricket;Deep Learning;Python;Reading;Web Development
327,Sneha_327,Backend;Biology;Cricket;Frontend;Hiking;Operating Systems
328,Pooja_328,Blockchain;Computer Vision;Cricket;Finance;Java;Python
329,Ravi_329,Algorithms;Frontend;Hiking;JavaScript
330,Vishal_330,Gaming;Graph Theory;Python;Reading;Rust
331,Ravi_331,Basketball;C++;Cricket;Finance;Rust;Web Development
332,Harsh_332,Cricket;Cybersecurity;Football;Gaming;Physics
333,Mansi_333,Basketball;Biology;C++;Football;Frontend;Graph Theory;Investing
334,Tanya_334,Algorithms;Basketball;Finance;Football;Investing;Machine Learning
